1,factor_001,股权结构,低频-采矿,股权结构,经营,外部支持,实际控制人的性质及控股比例,拥有国家或地方政府背景的企业，更容易获得各种优惠政策，同时业务的运营发展也会受益于政府支持，在面临经济的不确定因素时，更容易得到政府救助。且通常持股比例越大，其救助意愿更强。各档位释义如下：{1-企业性质为中央企业、国家级国有企业，2-企业性质为省级地方国有企业且实际控制人持股比例大于等于50%，3-企业性质为省级地方国有企业且实际控制人持股比例小于50%，企业性质为市级地方国有企业，企业性质为无实际控制人(股东背景为市级及以上国资背景)，4-企业性质为其他国有企业、民营企业、集体企业、其他，或企业性质为无实际控制人(股东背景为市级以下国资或非国资)，5-数据缺失},,
2,factor_006,融资成本,低频-采矿,融资成本,财务,融资能力,2*（EBITDA/EBITDA利息保障倍数）/（本期期末有息债务+上期期末有息债务),企业债务成本越高，一方面企业承担的还息压力越大，企业面临的财务风险越高，另一方面，融资成本越高，反映了市场对企业信用资质的评价越低。 各档位释义如下：{1-[0%， 4%)，2-[4%， 4.5%)，3-[4.5%，5.5%)，4-[5.5%， +)，5-数据缺失},,
3,factor_012,受限货币资金占比,低频-采矿,受限货币资金占比,经营,营运能力,受限货币资金/货币资金,受限货币资金占比越高，企业能使用的资金额度越小，企业的付现能力越差。 各档位释义如下：{1-[0%， 3%)，2-[3%， 10%)，3-[10%， 20%)，4-[20%， 100%]，5-数据缺失},,
4,factor_058,产量,低频-采矿,产量,经营,营运能力,年产量,衡量企业生产规模的重要指标，同等条件下，规模大的企业通常能取得一定的规模效益。 各档位释义如下：{1-产量非常高：煤炭:[10000，+)万吨；黑色金属:[5000，+)万吨；黄金:[10，+)吨；石油:[5000，+)万吨；其他:产量非常高，2-产量较高：煤炭:[2000，10000)万吨；黑色金属:[1000，5000)万吨；黄金:[1，10)吨；石油:[500，5000)万吨；其他:产量较高，3-产量一般：煤炭:[500，2000)万吨；黑色金属:[100，1000)万吨；黄金:[0.1，1)吨；石油:[100，500)万吨；其他:产量一般，4-产量较低：煤炭:[0，500)万吨；黑色金属:[0，100)万吨；黄金:[0，0.1)吨；石油:[0，100)万吨；其他:产量较低，5-数据缺失},,
5,factor_582,利润波动情况,低频-采矿,利润波动情况,财务,盈利能力,营业利润波动情况、利润总额波动情况、净利润波动情况,从营业利润、利润总额和净利润三个维度考察发行人近三年的利润波动情况，利润多年为正，风险越小。各档位释义如下：{1-利润连续两年及以上为正，2-利润连续一年为正或为负，3-利润连续两年为负，4-利润连续三年为负，5-数据缺失},,
6,Leverage14,EBITDA利息保障倍数,低频-采矿,EBITDA利息保障倍数,财务,偿债能力,EBITDA/减:财务费用,(EBIT＋折旧＋摊销)/财务费用；利息保障倍数反映企业的获利能力大小，也是衡量企业长期偿债能力大小的重要标志。要维持正常偿债能力，倍数至少应大于1，且比值越高，企业长期偿债能力越强,倍,倍
7,Operation12,资产总额周转率,低频-采矿,资产总额周转率,财务,营运能力,营业收入*2/(期初资产总计+资产总计),资产总额周转率综合反映了企业整体资产的营运能力，该指标越大，说明总资产周转越快，反映出销售能力越强。,数值,%
8,Size2,所有者权益,低频-采矿,所有者权益,财务,规模水平,股东权益合计,所有者权益，值越大，抗风险能力越强,元,亿元
9,Structure2,有息债务/(有息债务+所有者权益),低频-采矿,有息债务/(有息债务+所有者权益),财务,资本结构,有息债务/(有息债务+所有者权益),比值越大说明财务杠杆风险越大,数值,%
10,factor_001,股权结构,低频-原材料制造,股权结构,经营,外部支持,实际控制人的性质及控股比例,拥有国家或地方政府背景的企业，更容易获得各种优惠政策，同时业务的运营发展也会受益于政府支持，在面临经济的不确定因素时，更容易得到政府救助。且通常持股比例越大，其救助意愿更强。 各档位释义如下：{1-企业性质为中央企业、国家级国有企业，2-企业性质为省级地方国有企业、市级地方国有企业，3-企业性质为其他国有企业，企业性质为无实际控制人(股东背景为国资背景)，企业性质为民营企业且实际控制人持股比例大于等于50%，4-企业性质为集体企业、其他，企业性质为民营企业且实际控制人持股比例小于50%，或企业性质为无实际控制人(股东背景为非国资)，5-数据缺失},,
